Date,Close,High,Low,Open,Volume,log_return,simple_return,vol_20d,vol_60d,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_mid,bb_upper,bb_lower,drawdown
2024-05-23,420.3932189941406,426.89110613989686,418.8376788510908,426.2708490423147,17211700,,,,,,,,420.3932189941406,420.3932189941406,0.0,0.0,0.0,,,,,0.0
2024-05-24,423.5043029785156,424.39037161476875,417.84327052223153,420.58025544710625,11855300,0.007373165574004877,0.007400414287886958,,,,,,420.8718472994291,420.62366965964986,0.2481776397792146,0.04963552795584292,0.19854211182337167,,,,,0.0
2024-05-28,423.6618347167969,424.1540984130066,419.99939161518114,422.98250841239616,15718000,0.00037190282540219984,0.0003719719898318541,,,,,,421.3010761328703,420.8487189231422,0.4523572097281203,0.1301798643102984,0.32217734541782195,,,,,0.0
2024-05-29,422.5296325683594,424.27223522977,419.1034664398289,419.1034664398289,15517100,-0.002675996787600862,-0.0026724194998455353,,,,,,421.4900848152532,420.97323104501015,0.516853770243074,0.20751464549685353,0.3093391247462205,,,,,-0.0026724194998455253
2024-05-30,408.2539367675781,417.73490915108744,407.83056720646823,417.73490915108744,28394500,-0.034370205758765204,-0.03378625947251557,,,,,,419.45375434638015,420.0310610985337,-0.5773067521535609,0.05055036596677065,-0.6278571181203315,,,,,-0.03636838791371989
2024-05-31,408.70684814453125,410.3017776619535,398.2511723788605,410.3017776619535,47995300,0.0011087715144165473,0.001109386428797654,,,,,,417.8003841614803,419.19223050934835,-1.3918463478680678,-0.23792897680019706,-1.1539173710678707,,,,,-0.035299348080911064
2024-06-03,407.1217956542969,409.98677424724076,402.5929932498963,409.10070551791864,17484700,-0.00388575345248011,-0.0038782136815918022,,,,,,416.1575243911444,418.29812422378893,-2.1405998326445115,-0.61846314796906,-1.5221366846754516,,,,,-0.03904066334782419
2024-06-04,409.6322937011719,409.9965640062738,403.34114963612075,406.04859979558495,14348900,0.006147519763864712,0.0061664545442483565,,,,,,415.1536427465333,417.65621085174325,-2.5025681052099458,-0.9952841394172371,-1.5072839657927086,,,,,-0.033114951279487465
2024-06-05,417.449462890625,417.5183569725432,409.8587351784671,411.3453811328119,16988000,0.01890357733426761,0.019083381143664813,,,,,,415.5068458456243,417.64089618795674,-2.1340503423324435,-1.2230373800002785,-0.911012962332165,,,,,-0.014663515372642967
2024-06-06,417.95159912109375,418.7293842506858,414.0725584079514,417.449510532203,14861300,0.0012021442484917153,0.0012028671135224656,,,,,,415.8829617341581,417.6639112200409,-1.780949485882843,-1.3346198011767916,-0.4463296847060514,,,,,-0.013478286519530884
2024-06-07,417.2919006347656,419.6842947543912,416.45504642365455,419.60554579064143,13621700,-0.0015796558098337974,-0.0015784088102914762,,,,,,416.0997215650208,417.63635488039085,-1.536633315370068,-1.375022504015447,-0.16161081135462108,,,,,-0.015035421083632252
2024-06-10,421.2497253417969,421.45646767892094,417.33132559781046,418.12879037210877,13982900,0.009439851224525371,0.009484547150353961,,,,,,416.89202983837095,417.90401195160615,-1.0119821132352058,-1.3024144258593988,0.290432312624193,,,,,-0.005693478093471437
2024-06-11,425.9853210449219,426.1231693068597,418.670289453605,418.89674157876317,14551100,0.011179058375908662,0.01124177754485789,,,,,,418.2909977163019,418.5026274399999,-0.21162972369802446,-1.084257485427124,0.8726277617290996,,,,,0.0
2024-06-12,434.2356872558594,436.5394779500611,426.5465300525426,428.58450914389596,22366200,0.019182556856227963,0.019367724199274683,,,,,,420.7440268762338,419.6680392782117,1.0759875980220954,-0.6522084687372802,1.7281960667593756,,,,,0.0
2024-06-13,434.74761962890625,436.52964196122593,432.57182236972,434.0289338170149,15960600,0.0011782330643510437,0.0011789274536186944,,,,,,422.89842576126034,420.78504523011503,2.11338053114531,-0.09909066876076211,2.2124711999060724,64.45276660179235,,,,0.0
