Date,Close,High,Low,Open,Volume,log_return,simple_return,vol_20d,vol_60d,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_mid,bb_upper,bb_lower,drawdown
2024-05-23,103.74046325683594,106.26003756449907,101.46274160839002,101.9704583406549,835065000,,,,,,,,103.74046325683594,103.74046325683594,0.0,0.0,0.0,,,,,0.0
2024-05-24,106.40894317626953,106.41493649766242,102.94189825157174,104.39007837740144,429494000,0.02539739131405824,0.025722652817031344,,,,,,104.15099862905649,103.93812843605323,0.21287019300325483,0.04257403860065097,0.17029615440260387,,,,,0.0
2024-05-28,113.83675384521484,114.87417036274923,109.82102250000426,110.18181893492428,652728000,0.06747581252803195,0.06980438342142836,,,,,,105.64111481615777,104.67135994784299,0.9697548683147801,0.2280102045434768,0.7417446637713032,,,,,0.0
2024-05-29,114.76022338867188,115.42684694644582,110.83844096973402,112.98623077828327,557442000,0.008079499371953555,0.008112226607521533,,,,,,107.04405459654456,105.41868316568217,1.625371430862387,0.5074824498072589,1.117888981055128,,,,,0.0
2024-05-30,110.43766021728516,115.75365968930379,109.60113443300703,114.5853204744456,484553000,-0.03839373685426648,-0.03766604005942886,,,,,,107.56614776896618,105.7904592435787,1.77568852538748,0.7611236649233031,1.0145648604641768,,,,,-0.037666040059428856
2024-05-31,109.5711669921875,112.65342715935483,106.87968513049076,112.45653205108225,613263000,-0.007876935814759388,-0.007845994051239757,,,,,,107.87461226484638,106.07051166940157,1.8041005954448082,0.9697190510276041,0.834381544417204,,,,,-0.045216506584428565
2024-06-03,114.93513488769531,114.93513488769531,111.93982368190672,113.55691490102478,438392000,0.047793659760665436,0.04895419153371128,,,,,,108.96084651451544,106.72715042631222,2.2336960882032173,1.2225144584627268,1.0111816297404905,,,,,0.0
2024-06-04,116.37132263183594,116.53423270815343,113.98067349692546,115.65073625073813,403324000,0.012418211025660144,0.012495637174341434,,,,,,110.10091976333398,107.44153355264731,2.6593862106866624,1.509888808907514,1.1494974017791484,,,,,0.0
2024-06-05,122.37094116210938,122.37993114467406,117.40174545593459,118.30423600418825,528402000,0.05027079728482617,0.05155581628348793,,,,,,111.98861536314558,108.54741559779265,3.441199765352934,1.896151000196598,1.545048765156336,,,,,0.0
2024-06-06,120.92974853515625,125.51615686058132,118.25325773862335,123.97802351582399,664696000,-0.011847146715798037,-0.011777245588427077,,,,,,113.36417431268569,109.46462544500477,3.8995488676809202,2.2968305736934624,1.6027182939874578,,,,,-0.011777245588427101
2024-06-07,120.81981658935547,121.62336396697008,117.95543577009146,119.70244332667052,412386000,-0.0009094697094619093,-0.0009090562672329217,,,,,,114.51119620140412,110.30575071495667,4.205445486447445,2.678553556244259,1.526891930203186,,,,,-0.012675595676747092
2024-06-10,121.72130584716797,123.0305645078952,116.94400320335374,120.30210862140808,313434100,0.007433736598095294,0.007461435410686779,,,,,,115.62044383921395,111.15134739141676,4.469096447797185,3.0366621345548444,1.4324343132423403,,,,,-0.005308738404494332
2024-06-11,120.85173797607422,122.81079255068147,118.68277788836801,121.71131653242202,222551200,-0.007169564946104325,-0.007143924927864087,,,,,,116.42525832180783,111.86989484213213,4.555363479675705,3.3404024035790165,1.2149610760966887,,,,,-0.012414738103735027
2024-06-12,125.13966369628906,126.8188544177255,122.51093382538542,123.00069556163665,299595000,0.03486593483409987,0.03548087757797691,,,,,,117.76593607172802,112.8528406831808,4.9130953885472195,3.6549410005726575,1.258154387974562,,,,,0.0
2024-06-13,129.5475311279297,129.7374419918796,127.09871503024357,129.32763594350715,260704500,0.0346174263885335,0.03522358380583812,,,,,,119.57848915729751,114.08948441982886,5.4890047374686475,4.0217537479518555,1.467250989516792,81.45165519465232,,,,0.0
2024-06-14,131.81643676757812,132.77596549255935,128.2581551805241,129.8973640661816,309320400,0.017362474678335342,0.017514078577135272,,,,,,121.46125032810991,115.40259200114362,6.058658326966295,4.429134663754743,1.6295236632115522,81.26922865296754,,,,0.0
2024-06-17,130.91688537597656,133.66556033801308,129.5175660413327,132.92592665460285,288504400,-0.006847665148033217,-0.006824273312649676,,,,,,122.91596341239708,116.55179891779791,6.364164494599166,4.816140629923628,1.548023864675538,75.04511243035681,,,,-0.006824273312649718
2024-06-18,135.51466369628906,136.26430225949593,130.6270208742377,131.07680096187468,294335100,0.034517194559625014,0.035119826652675545,,,,,,124.8542249945343,117.95645556805651,6.897769426477794,5.232466389234461,1.6653030372433326,77.47255699266489,,,,0.0
2024-06-20,130.7169647216797,140.69215023640655,129.45757751387328,139.73262148324963,517768400,-0.03604544247657091,-0.03540354116482791,,,,,,125.75618495255667,118.90167846832489,6.854506484231777,5.5568744082339245,1.2976320759978526,76.51015854936853,,,,-0.03540354116482787
2024-06-21,126.5090103149414,130.5670591372875,124.24010749891087,127.05874834066508,649445800,-0.03272087773162396,-0.03219134115986999,,,120.34581871032715,,,125.8720042390774,119.46518453103722,6.4068197080401745,5.726863468195175,0.6799562398449996,70.36305704558433,120.34581871032715,138.33006391904834,102.36157350160595,-0.06645519485279339
2024-06-24,118.05306243896484,124.39999972182731,117.98309648941706,123.18058663623754,476060900,-0.0691793283417963,-0.06684067684132278,0.5436895758427577,,121.06144866943359,,,124.66909011598315,119.36058289458742,5.308507221395729,5.643192218835286,-0.33468499743955693,53.489049534458154,121.06144866943359,137.31978085890927,104.8031164799579,-0.12885396149053344
2024-06-25,126.02922821044922,126.43903427437067,119.26249431645674,121.14158551930763,414192600,0.06537964489951686,0.06756424277945494,0.5795022855590436,,122.04246292114257,,,124.87834213051639,119.85455662168829,5.023785508828098,5.519310876833848,-0.4955253680057501,59.42757193965727,122.04246292114257,136.88421500682216,107.20071083546298,-0.06999563904831942
2024-06-26,126.3390884399414,128.0582531537486,122.54091663746888,126.06921428451571,362975900,0.0024556203354799268,0.002458637840539346,0.5360091160160517,,122.6675796508789,,,125.10307233196639,120.33489231192925,4.768180020037136,5.369084705474506,-0.6009046854373707,54.35755231822524,122.6675796508789,137.10168060743888,108.23347869431895,-0.06770909513461694
